timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO
2026-02-01T23:47:09.783500,bullshark,defense_network,speculative,4,87.4,81.52397561073303,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T23:48:30.921456,bullshark,defense_network,speculative,5,92.8,81.08483457565308,0,,,,,,,5000,,,,,,,,,,,,,,,,
2026-02-01T23:49:52.154594,bullshark,defense_gc,speculative,1,87.2,81.17861533164978,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T23:51:12.700475,bullshark,defense_gc,speculative,2,91.4,80.4913535118103,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T23:52:33.912272,bullshark,defense_gc,speculative,3,94.8,81.15756678581238,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T23:53:56.794165,bullshark,defense_gc,speculative,4,94.8,82.83341312408447,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T23:55:16.955787,bullshark,defense_gc,speculative,5,87.0,80.10772657394409,0,,,,,,,,5,,,,,,,,,,,,,,,
2026-02-01T23:56:37.527268,bullshark,defense_gc,speculative,1,94.3,80.51853680610657,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-01T23:57:58.781711,bullshark,defense_gc,speculative,2,87.0,81.19926953315735,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-01T23:59:20.545962,bullshark,defense_gc,speculative,3,92.8,81.71250128746033,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-02T00:00:41.720223,bullshark,defense_gc,speculative,4,92.8,81.11781668663025,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-02T00:02:03.485409,bullshark,defense_gc,speculative,5,90.3,81.710533618927,0,,,,,,,,10,,,,,,,,,,,,,,,
2026-02-02T00:03:22.502767,bullshark,defense_gc,speculative,1,87.7,78.96443676948547,0,,,,,,,,50,,,,,,,,,,,,,,,
2026-02-02T00:05:43.374560,bullshark,defense_gc,speculative,2,85.0,81.11662673950195,0,,,,,,,,50,,,,,,,,,,,,,,,
2026-02-02T00:07:03.241528,bullshark,defense_gc,speculative,3,87.5,79.8125274181366,0,,,,,,,,50,,,,,,,,,,,,,,,
