timestamp,protocol,experiment,attack_mode,attack_type,rep,asr,asr_l1,asr_l2,asr_histogram,duration,exit_code,NUM_NODES,ATTACKER_RATIO,ATTACKER_ID,FRONT_ATTACKER_ID,BACK_ATTACKER_ID,VICTIM_ID,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,VICTIM_COUNT,ATTACK_TYPE,SANDWICH_METRIC_MODE,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-03-31T02:12:14.203010,autobahn,simple,fissure,backrun,5,73.21,5.91,10.44,"{""1"": 47, ""10+"": 93, ""2"": 36, ""3"": 78, ""4"": 30, ""5"": 43, ""6"": 39, ""7"": 42, ""8"": 78, ""9"": 96}",83.8508460521698,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:13:38.777660,autobahn,simple,speculative,backrun,1,63.50,9.22,12.25,"{""1"": 70, ""10+"": 95, ""2"": 23, ""3"": 47, ""4"": 30, ""5"": 59, ""6"": 49, ""7"": 36, ""8"": 40, ""9"": 33}",79.48049211502075,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:14:49.975980,autobahn,simple,speculative,backrun,2,46.65,11.66,16.77,"{""1"": 73, ""10+"": 14, ""2"": 32, ""3"": 18, ""4"": 48, ""5"": 38, ""6"": 18, ""7"": 27, ""8"": 20, ""9"": 4}",66.18585395812988,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:16:07.314835,autobahn,simple,speculative,backrun,3,43.64,11.71,21.39,"{""1"": 81, ""10+"": 4, ""2"": 67, ""3"": 30, ""4"": 54, ""5"": 30, ""6"": 25, ""7"": 5, ""8"": 2, ""9"": 4}",72.33451676368713,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:17:22.701218,autobahn,simple,speculative,backrun,4,48.95,9.16,13.96,"{""1"": 61, ""10+"": 32, ""2"": 32, ""3"": 56, ""4"": 27, ""5"": 17, ""6"": 26, ""7"": 28, ""8"": 19, ""9"": 28}",70.37585592269897,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:18:38.006558,autobahn,simple,speculative,backrun,5,47.55,9.06,15.9,"{""1"": 61, ""10+"": 17, ""2"": 46, ""3"": 51, ""4"": 23, ""5"": 40, ""6"": 22, ""7"": 25, ""8"": 21, ""9"": 14}",70.29652786254883,0,13,,,,,,50,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:19:51.545044,autobahn,simple,sluggish,backrun,1,49.47,9.01,21.07,"{""1"": 59, ""10+"": 11, ""2"": 79, ""3"": 38, ""4"": 39, ""5"": 15, ""6"": 23, ""7"": 7, ""8"": 27, ""9"": 26}",68.44891500473022,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:21:16.874148,autobahn,simple,sluggish,backrun,2,48.38,7.12,19.02,"{""1"": 55, ""10+"": 16, ""2"": 92, ""3"": 36, ""4"": 41, ""5"": 43, ""6"": 48, ""7"": 20, ""8"": 17, ""9"": 6}",80.31383991241455,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:22:30.321593,autobahn,simple,sluggish,backrun,3,31.33,6.33,8.02,"{""1"": 41, ""10+"": 18, ""2"": 11, ""3"": 12, ""4"": 27, ""5"": 34, ""6"": 30, ""7"": 29, ""9"": 1}",68.43469381332397,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
2026-03-31T02:23:43.497069,autobahn,simple,sluggish,backrun,4,62.31,20.31,33.69,"{""1"": 132, ""10+"": 3, ""2"": 87, ""3"": 19, ""4"": 45, ""5"": 46, ""6"": 35, ""7"": 8, ""8"": 17, ""9"": 13}",68.17019391059875,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,backrun,,,,,,,
