timestamp,protocol,experiment,attack_mode,rep,asr,duration,exit_code,NUM_NODES,ATTACKER_RATIO,SPECULATIVE_P_MAX,SLUGGISH_TIMEOUT_MULTIPLIER,SLUGGISH_MULTIPLIER,DAG_STATE_CACHED_ROUNDS,SYNC_TIMEOUT_MS,GC_DEPTH,LATENCY_JITTER,LATENCY_MS,JITTER_MS,HEADER_SIZE,MAX_HEADER_DELAY,BATCH_SIZE,MAX_BATCH_DELAY,NUM_WORKERS,WAVE_LENGTH,NUMBER_OF_LEADERS,SPECULATIVE_STRATEGY,EXCLUSION_PROBABILITY,HYBRID_EXCLUSION,SIMPLE_EXCLUSION_PROB,VICTIM_RATIO,ALEPH_ELECTION_LOOKAHEAD,ALEPH_COORD_REQUEST_DELAY_MS,ALEPH_HASH_SORT_SEED,AUTOBAHN_K,AUTOBAHN_FAST_PATH_TIMEOUT,AUTOBAHN_USE_FAST_PATH
2026-02-13T16:20:56.874316,autobahn,autobahn_fast_path,fissure,4,49.96,77.11910343170166,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,
2026-02-13T16:22:24.166764,autobahn,autobahn_fast_path,fissure,5,50.01,82.27966022491455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,
2026-02-13T16:23:43.577685,autobahn,autobahn_fast_path,fissure,1,50.04,74.38790130615234,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
2026-02-13T16:25:04.823790,autobahn,autobahn_fast_path,fissure,2,50.02,76.23226308822632,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
2026-02-13T16:26:21.095660,autobahn,autobahn_fast_path,fissure,3,50.02,71.25965547561646,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
2026-02-13T16:27:33.368029,autobahn,autobahn_fast_path,fissure,4,0.73,67.25906682014465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
2026-02-13T16:28:45.546123,autobahn,autobahn_fast_path,fissure,5,50.34,67.16622543334961,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,
2026-02-13T16:30:02.453873,autobahn,autobahn_fast_path,fissure,1,48.44,71.89735531806946,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,
2026-02-13T16:31:32.350751,autobahn,autobahn_fast_path,fissure,2,44.64,84.87561345100403,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,
2026-02-13T16:33:02.205717,autobahn,autobahn_fast_path,fissure,3,50.00,84.83140897750854,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,
2026-02-13T16:34:29.188869,autobahn,autobahn_fast_path,fissure,4,53.57,81.96072745323181,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,
2026-02-13T16:35:48.988187,autobahn,autobahn_fast_path,fissure,5,51.85,74.78607368469238,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,
2026-02-13T16:37:21.399211,autobahn,offense_fissure,fissure,1,50.04,87.38724207878113,0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13T16:38:38.708833,autobahn,offense_fissure,fissure,2,49.94,72.29725170135498,0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13T16:40:07.979047,autobahn,offense_fissure,fissure,3,50.07,84.24564456939697,0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13T16:41:33.239004,autobahn,offense_fissure,fissure,4,50.36,80.23552346229553,0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13T16:42:55.514242,autobahn,offense_fissure,fissure,5,50.00,77.26176452636719,0,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
